Task,Model,Prompt Length,Quantization,Bites,Device
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q6_K,6,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q6_K,6,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q6_K,6,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Short,Q6_K,6,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Zero-Shot Classification,DeepSeek-7B-Chat-GGUF,Long,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Short,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Zero-Shot Classification,Qwen-7B-Chat-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,phi-2-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,phi-2-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,phi-2-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,phi-2-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,phi-2-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,phi-2-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q6_K,6,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_0,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K_M,4,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K,5,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K_M,5,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q6_K,6,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_0,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K_M,4,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K,5,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K_M,5,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q6_K,6,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_0,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K,4,Low-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K_M,4,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K,5,Mid-range
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K_M,5,flagship
Dialogue Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q6_K,6,flagship
